Date,Confirmed Cases,Deaths,Recovered,Afghanistan
2020-02-24,1,0,0
2020-02-25,1,0,0
2020-02-26,1,0,0
2020-02-27,1,0,0
2020-02-28,1,0,0
2020-02-29,1,0,0
2020-03-01,1,0,0
2020-03-02,1,0,0
2020-03-03,1,0,0
2020-03-04,1,0,0
2020-03-05,1,0,0
2020-03-06,1,0,0
2020-03-07,1,0,0
2020-03-08,4,0,0
2020-03-09,4,0,0
2020-03-10,5,0,0
2020-03-11,7,0,0
2020-03-12,7,0,0
2020-03-13,7,0,0
2020-03-14,11,0,0
2020-03-15,16,0,0
2020-03-16,21,0,1
2020-03-17,22,0,1
2020-03-18,22,0,1
2020-03-19,22,0,1
2020-03-20,24,0,1
2020-03-21,24,0,1
2020-03-22,40,1,1
2020-03-23,40,1,1
2020-03-24,74,1,1
2020-03-25,84,2,2
2020-03-26,94,4,2
2020-03-27,110,4,2
2020-03-28,110,4,2
2020-03-29,120,4,2
2020-03-30,170,4,2
2020-03-31,174,4,5
2020-04-01,237,4,5
2020-04-02,273,6,10
2020-04-03,281,6,10
2020-04-04,299,7,10
2020-04-05,349,7,15
2020-04-06,367,11,18
2020-04-07,423,14,18
2020-04-08,444,14,29
2020-04-09,484,15,32
2020-04-10,521,15,32
2020-04-11,555,18,32
2020-04-12,607,18,32
2020-04-13,665,21,32
2020-04-14,714,23,40
2020-04-15,784,25,43
2020-04-16,840,30,54
2020-04-17,906,30,99
2020-04-18,933,30,112
2020-04-19,996,33,131
2020-04-20,1026,36,135
2020-04-21,1092,36,150
2020-04-22,1176,40,166
2020-04-23,1279,42,179
2020-04-24,1351,43,188
2020-04-25,1463,47,188
2020-04-26,1531,50,207
2020-04-27,1703,57,220
2020-04-28,1828,58,228
2020-04-29,1939,60,252
2020-04-30,2171,64,260
2020-05-01,2335,68,310
2020-05-02,2469,72,331
2020-05-03,2704,85,345
2020-05-04,2894,90,397
